Instance,IR,NG,PS,PC,PM,NMP,Time,Accuracy
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.75_1.dat,0.4,50,50,0.2,0.4,15,0.0783024,99.36478218715523
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,50,50,0.2,0.4,15,0.4567195,97.37949211820163
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.50_1.dat,0.4,50,50,0.2,0.4,15,0.5803037,97.54832541064197
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.75_1.dat,0.4,50,50,0.2,0.4,15,0.4650726,99.40971078463667
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,50,50,0.2,0.4,15,3.7948996,96.40194013877861
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.50_1.dat,0.4,50,50,0.2,0.4,15,5.2848033,97.95866877680682
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.75_1.dat,0.4,50,50,0.2,0.4,15,3.8508269,99.33328249791961
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,50,50,0.2,0.6,3,0.0629169,97.94512120093516
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.50_1.dat,0.4,50,50,0.2,0.6,3,0.0863421,99.0364150899268
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.75_1.dat,0.4,50,50,0.2,0.6,3,0.0733071,99.55534753100866
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,50,50,0.2,0.6,3,0.4374074,97.90663490293477
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.50_1.dat,0.4,50,50,0.2,0.6,3,0.5552852,98.04894329036739
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.75_1.dat,0.4,50,50,0.2,0.6,3,0.4496304,99.43738059160682
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,50,50,0.2,0.6,3,3.6676724,95.85217661476852
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.50_1.dat,0.4,50,50,0.2,0.6,3,5.3776153,98.3050069955733
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.75_1.dat,0.4,50,50,0.2,0.6,3,3.8772368,99.14397583770683
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,50,50,0.2,0.6,15,0.069185,97.36270046347566
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.50_1.dat,0.4,50,50,0.2,0.6,15,0.0887545,99.1510162078724
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.75_1.dat,0.4,50,50,0.2,0.6,15,0.0727985,99.25946976028885
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,50,50,0.2,0.6,15,0.4376461,97.74612668322436
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.50_1.dat,0.4,50,50,0.2,0.6,15,0.5500068,97.7133940088217
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.75_1.dat,0.4,50,50,0.2,0.6,15,0.4359046,99.50787271888794
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.4,50,50,0.2,0.6,15,3.6000317,95.77363896848138
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.50_1.dat,0.4,50,50,0.2,0.6,15,4.6824098,98.00821119750452
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.75_1.dat,0.4,50,50,0.2,0.6,15,3.5925809,99.24575717691056
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.4,50,50,0.2,0.8,3,0.0683917,97.51445797957426
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.50_1.dat,0.4,50,50,0.2,0.8,3,0.1546263,98.853988820544
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.75_1.dat,0.4,50,50,0.2,0.8,3,0.0810022,99.50519875631039
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.4,50,50,0.2,0.8,3,0.4389928,97.34232179363713
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.50_1.dat,0.4,50,50,0.2,0.8,3,0.5395884,97.72692422178724
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.75_1.dat,0.4,50,50,0.2,0.8,3,0.4220073,99.42749851768892
