Instance,Average_DFO,Best_DFO,Worst_DFO,Time
OR5x100-0.25_1,0.552479389688695,0.2132808334358722,0.7751937984496124,0.7033695200000001
OR5x100-0.25_10,0.3050537326068869,0.0,0.5243537749375282,0.6086096333333334
OR5x100-0.50_1,0.20355341425575424,0.0,0.3508197488130599,0.7634929199999999
OR5x100-0.50_10,0.12658796067693462,0.031422543430443955,0.26933608654666247,0.7834295766666667
OR5x100-0.75_1,0.006296457267677547,0.0,0.06853665875430444,0.74325433
OR5x100-0.75_10,0.011339948303181706,0.0,0.06503793879763195,0.7897147133333333
OR5x250-0.25_1
OR5x250-0.25_1,0.5186696340257139,0.3186538980307526,0.6507957917453466,1.73493963
OR5x250-0.25_10,0.815708090933249,0.5732797367662273,1.0414016519954545,1.74246676
OR5x250-0.50_1,0.32517940774821774,0.20438277319011264,0.42068023719399866,2.20481991
OR5x250-0.50_10,0.46267057805016654,0.24477288439619574,0.6063267250882863,2.26321231
OR5x250-0.75_1,0.14058626611162323,0.0728322386224684,0.19911933127977605,2.1723785566666667
OR5x250-0.75_10,0.02163858392279579,-0.0038794273965162738,0.03362170410314105,2.2083872033333334
OR5x500-0.25_1
OR5x500-0.25_1,0.10619051583007216,0.054940481145425796,0.1781403479563806,4.87572781
OR5x500-0.25_10,0.9485303661726018,0.7738257980596359,1.1507966097482165,4.895379686666667
OR5x500-0.50_1,0.17408197586934337,0.0961441613024329,0.23395079250258674,5.970225446666666
OR5x500-0.50_10,0.22648271299799275,0.1306368432312363,0.3887242652246544,6.245697253333333
OR5x500-0.75_1,0.05758977063247546,0.03684573468366754,0.07470557215679381,5.159425126666666
OR5x500-0.75_10,0.05203887466210893,0.02000640204865557,0.07502400768245839,5.27319384
OR10x100-0.25_1
OR10x100-0.25_1,1.4425078043704507,0.7327436697884149,2.024800554977454,0.74008686
OR10x100-0.25_10,0.754559069685487,0.0,1.2245617126244384,0.7514470333333333
OR10x100-0.50_1,0.968796553529008,0.2150018118130209,1.420461408382655,1.0280719733333334
OR10x100-0.50_10,0.7329660818145772,0.4222583541631276,1.007110442400563,0.99980916
OR10x100-0.75_1,0.1274655047204033,0.0,0.36427015250544664,1.01894881
OR10x100-0.75_10,0.13628442157460688,0.0,0.30676364356043734,1.04137751
OR10x250-0.25_1
OR10x250-0.25_1,1.612628899364163,1.2418267524963251,1.8889283119603966,2.3258587433333333
OR10x250-0.25_10,1.1140956982526096,0.6064906323382833,1.3988140489584917,2.4094614266666667
OR10x250-0.50_1,1.4315867331751855,1.0445324409406205,1.7408874015677007,3.1605031766666665
OR10x250-0.50_10,0.9009304461081492,0.5622030864949449,1.0335166740065402,3.194546686666667
OR10x250-0.75_1,0.23919010914202535,0.15877198761446734,0.3214968047960999,2.9730881699999996
OR10x250-0.75_10,0.2275601631664197,0.11890129856249665,0.3119489125207075,2.80253883
OR10x500-0.25_1
OR10x500-0.25_1,1.2906523056362522,0.968350236990979,1.5298234884392572,6.9475369
OR10x500-0.25_10,1.449010143406784,1.0711437565582371,1.7813221406086044,6.920334576666666
OR10x500-0.50_1,0.5552078827647412,0.4684379572791946,0.6322531957776162,9.105085693333333
OR10x500-0.50_10,0.31364575644642395,0.21464183342163537,0.4030194762558132,8.948187393333333
OR10x500-0.75_1,0.21569890211953396,0.14194464158977999,0.254974633966827,7.81742727
OR10x500-0.75_10,0.21899109921153886,0.17914492498713414,0.2791403649344981,7.774441666666666
OR30x100-0.25_1
OR30x100-0.25_1,1.3188432212400176,1.2166226191561105,1.7178529116923358,1.23352475
OR30x100-0.25_10,1.4367186134807566,0.0,1.8109898489253207,1.2622663166666668
OR30x100-0.50_1,1.1667934031610476,0.8757082934726617,1.4080015698972208,1.8620551366666667
OR30x100-0.50_10,0.8219824140687532,0.618705035971223,1.0359712230215827,1.8637973733333333
OR30x100-0.75_1,0.31852599111791036,0.0,0.4852680279681358,1.8674298466666668
OR30x100-0.75_10,0.5113058209439609,0.24751249938121875,0.7804894147154432,1.9861430133333333
OR30x250-0.25_1
OR30x250-0.25_1,2.7350231363072437,2.063746847053428,3.1820506940892175,4.76120864
OR30x250-0.25_10,2.774697208590944,2.2463549878647227,3.1480858150123123,4.69681763
OR30x250-0.50_1,1.2049512949326355,0.8357399548700425,1.414257723630083,6.713881556666666
OR30x250-0.50_10,1.0618969718174391,0.8368715189454473,1.2917135535361368,6.33070667
OR30x250-0.75_1,0.407374586062375,0.26118880885909795,0.5377024712992144,6.206271633333333
OR30x250-0.75_10,0.7144385312759112,0.5134650870483781,0.8577808680769128,6.462287526666667
OR30x500-0.25_1
OR30x500-0.25_1,3.246395323414006,2.639210135671626,3.5385093382124486,15.295917513333334
OR30x500-0.25_10,2.5444574607870845,2.1112127715973905,2.7653552463936655,15.341145676666667
OR30x500-0.50_1,1.0406966520638807,0.8335053556274227,1.2082845936833413,20.625860066666668
OR30x500-0.50_10,1.030701754385964,0.9076338154167288,1.142463098255554,20.29811542
OR30x500-0.75_1,0.3480678674875391,0.26158135710662506,0.4432627052617969,17.851158073333334
OR30x500-0.75_10,0.35620936785817175,0.2619317047194302,0.472275843706317,17.824475483333334
