Instance,SR,STD
sento1,0.8666666666666667,3.7392809766347077
sento2,0.13333333333333333,4.257803293822871
hp1,0.36666666666666664,14.207353338637317
hp2
hp2,0.0,21.994671071774537
pb1,0.13333333333333333,12.224974437601086
pb2,0.0,4.565693326928075
pb4
pb4,0.9666666666666667,36.43961519494348
pb5,0.23333333333333334,18.31744766305854
pb6,1.0,0.0
pb7
pb7,0.23333333333333334,4.4628092796652945
weing1,0.6,11.005857026551313
weing2,0.6,76.84110589753087
weing3
weing3,1.0,0.0
weing4,1.0,0.0
weing5,1.0,0.0
weing6
weing6,0.5,195.0
weing7,0.0,180.73013952668032
weing8,0.3333333333333333,327.8490235187871
