Instance,SR,STD
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish18.dat,0.0,14.269781591414306
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish19.dat,1.0,0.0
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish20.dat,0.8666666666666667,1.6996731711975943
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish21.dat
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish21.dat,1.0,0.0
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish22.dat,0.13333333333333333,21.453204888780604
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish23.dat,0.0,21.184402018676124
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish24.dat
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish24.dat,0.0,29.284220248378737
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish25.dat,0.06666666666666667,9.965719018493127
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish26.dat,0.0,17.431006855600742
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish27.dat
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish27.dat,0.0,26.0
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish28.dat,1.0,0.0
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish29.dat,0.03333333333333333,9.314803033642507
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish30.dat
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\sac94\weish\weish30.dat,0.0,13.920249039917836
