Instance,Average_DFO,Best_DFO,Worst_DFO,Time
OR5x100-0.25_1,0.4425577293794408,0.15585907058775275,1.0746072761576637,0.38611364
OR5x100-0.25_10,0.37073450493629917,0.2826594568022613,0.45880955307033716,0.38729629
OR5x100-0.50_1,0.18149075005261955,0.12161751292186075,0.3414645555113783,0.34338627
OR5x100-0.50_10,0.2067154464245602,0.09651209767922073,0.3882928581047717,0.3283655
OR5x100-0.75_1,0.05549797733274898,0.0,0.23569924108187623,0.22667268
OR5x100-0.75_10,0.10589510547819561,0.008338197281747686,0.23513716334528476,0.21574517
OR5x250-0.25_1
OR5x250-0.25_1,0.42048826544375756,0.26301591583490697,0.5968438090099811,1.54268344
OR5x250-0.25_10,0.7542529554436084,0.3002086195491782,0.9311555487711799,1.58749687
OR5x250-0.50_1,0.7232217323960497,0.4674224857711096,0.8661063706935267,1.35812422
OR5x250-0.50_10,0.8893103383844935,0.6268801733963639,1.065976569068929,1.657121
OR5x250-0.75_1,0.6075812346734832,0.5051483706292305,0.6842221316459418,0.7199921899999999
OR5x250-0.75_10,0.19164371338790018,0.07629540546482005,0.37436474376382045,0.6670010900000001
OR5x500-0.25_1
OR5x500-0.25_1,0.1734787313743396,0.10488637309581288,0.22975110297178059,7.18782207
OR5x500-0.25_10,1.1685266655067517,0.9536118774803436,1.2850147888549202,6.1024392999999995
OR5x500-0.50_1,0.8305024219172061,0.6762139344937781,0.9861643973592404,4.60909276
OR5x500-0.50_10,0.6767625732271799,0.5730724237913816,0.7838210593874179,5.8446708
OR5x500-0.75_1,0.8672607055451061,0.7298159741471396,1.0215395432481036,1.7918710199999999
OR5x500-0.75_10,0.9806137964148606,0.838935125906957,1.0840135510029876,1.87877189
OR10x100-0.25_1
OR10x100-0.25_1,1.295525494276792,0.528962885882761,1.951092611862643,0.50552193
OR10x100-0.25_10,0.8267994009338416,0.0,1.3302792705488504,0.5030208700000001
OR10x100-0.50_1,1.0788742601763461,0.7198937069694408,1.5968112090832227,0.46868726
OR10x100-0.50_10,0.8136967020166548,0.26451816438954545,1.2934695561433738,0.47672847
OR10x100-0.75_1,0.30413943355119827,0.0,0.5002178649237473,0.29104763
OR10x100-0.75_10,0.33991390826777257,0.18471789289660745,0.46344399914238116,0.28238316
OR10x250-0.25_1
OR10x250-0.25_1,1.3438761890279984,0.8109888995894368,1.828104144491189,2.5773759
OR10x250-0.25_10,0.8930109979220492,0.7129221360633858,1.1622995962360414,2.65534162
OR10x250-0.50_1,1.5020340420158187,1.181638598991548,1.723749131811335,2.39405067
OR10x250-0.50_10,1.0156198757531125,0.8236275217150942,1.1515793221704786,1.9457602699999998
OR10x250-0.75_1,0.6431912510705504,0.43085842282100273,0.8004479873509454,1.8187513100000001
OR10x250-0.75_10,0.7624378774114213,0.5958424624592529,0.9331747982685833,0.9586324700000001
OR10x500-0.25_1
OR10x500-0.25_1,1.2953807994835465,0.9590065066340485,1.5850364405483919,9.08618195
OR10x500-0.25_10,1.1162224554039848,0.8889821615949632,1.2709338929695697,8.44769955
OR10x500-0.50_1,0.9983066289952972,0.8103332443700015,1.134742635216595,7.16507673
OR10x500-0.50_10,0.8181748198865153,0.716378439816513,0.9350957510879263,7.1085354899999995
OR10x500-0.75_1,1.162697473911093,0.8999684567463134,1.369831506453224,4.27084087
OR10x500-0.75_10,1.0424931762069405,0.8159237038050382,1.2403343170018306,6.30438896
OR30x100-0.25_1
OR30x100-0.25_1,1.1642212703909596,0.6515993802970929,1.3624350678939214,1.03996687
OR30x100-0.25_10,1.4282990992708418,0.6624410236858409,1.8109898489253207,1.08293612
OR30x100-0.50_1,1.535310422645771,1.0400569087742537,1.8838766649495915,0.9781721400000001
OR30x100-0.50_10,0.7937649880095923,0.618705035971223,0.9928057553956834,0.99275742
OR30x100-0.75_1,0.6790273767697524,0.4087383031272828,1.0557623404181304,0.59897512
OR30x100-0.75_10,0.8438526145570375,0.5907298318565087,1.2342623302476774,0.59987147
OR30x250-0.25_1
OR30x250-0.25_1,1.6127211472315859,1.1624010018873583,2.1060801157109346,5.407931039999999
OR30x250-0.25_10,2.3508778145871347,1.9363296543660424,2.8699488015306396,5.18642745
OR30x250-0.50_1,1.528568377457313,1.2731105312520312,1.7829119037227572,6.97753728
OR30x250-0.50_10,1.5375741127743472,0.9777685317396525,1.7909996122968106,6.20009152
OR30x250-0.75_1,0.8784472591832481,0.6976139869272335,1.0460878313999586,2.06240985
OR30x250-0.75_10,1.4001952237049637,1.0971304789666516,1.6700986815714172,2.35960655
OR30x500-0.25_1
OR30x500-0.25_1,2.7971484793040355,2.1817930748783096,3.2666482549107605,18.941335040000002
OR30x500-0.25_10,2.271456300717414,1.728133256945454,2.9517644745055454,33.245808569999994
OR30x500-0.50_1,1.4013165439574249,1.278928415789353,1.5693020482121152,16.95255129
OR30x500-0.50_10,1.5371999403608223,1.3451431340390638,1.7011145072312508,16.843120770000002
OR30x500-0.75_1,1.2779028402629737,1.1338507494355612,1.432895596216519,6.581376799999999
OR30x500-0.75_10,1.2451241429807551,1.025094854556347,1.4264793982560076,7.16714442
