Instance,IR,NG,PS,PC,PM,NMP,Time,Accuracy
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.9037924,313,288,0.58414083,0.45581203,7,1.6833098,99.2248062015504
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.50_1.dat,0.9037924,313,288,0.58414083,0.45581203,7,1.454451901,99.64918025118695
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.75_1.dat,0.9037924,313,288,0.58414083,0.45581203,7,1.23949,100.0
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.9037924,313,288,0.58414083,0.45581203,7,2.6873456,98.041799719533
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.50_1.dat,0.9037924,313,288,0.58414083,0.45581203,7,3.794511599,98.25279849904838
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.75_1.dat,0.9037924,313,288,0.58414083,0.45581203,7,3.6144908,99.60405823835562
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.9037924,313,288,0.58414083,0.45581203,7,18.1324478,96.41229675147581
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.50_1.dat,0.9037924,313,288,0.58414083,0.45581203,7,23.1027924,98.47106585013418
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.75_1.dat,0.9037924,313,288,0.58414083,0.45581203,7,21.123468501,99.3508538691828
